subject	Label				
SAN FRANCESCO D'ASSISI IN PREGHIERA	1				
Kannon, Kannon dalle mille braccia	1				
Paesaggio marino, Tramonto sul mare	1				
santi	1				
san Matteo e l'angelo	1				
Sant'Andrea condotto al martirio	1				
Cristo morto	1				
Incontro di San Nilo con l'imperatore Ottone III	1				
decapitazione di San Bartolomeo	1				
Assunzione della madonna	1				
Personaggi: Madonna; Gesù Bambino; San Giovannino; San Benedetto; San Bernardo; San Francesco d'Assisi. Costruzioni. Abbigliamento religioso. Figure: angeli. Insegne ecclesiastiche: pastorale; mitria.	0				
morte di San Romoaldo	1				
Madonna col Bambino fra i santi Lorenzo e Gervasio e trasporto del Volto Santo sullo sfondo	0				
Personaggi: Madonna; GesÃ¹ Bambino; San Giorgio; San Giuseppe; San Giovanni Evangelista; San Sebastiano. Attributi: (San Giorgio) armatura; drago; libro; (San Giovanni Evangelista) piccola croce; (San Sebastiano) albero; frecce.	0				
Madonna con Bambino e santi	1				
Personaggi: Danae. Figure: fantessa; putti.	0				
Personaggi: Sant'Ansano; San Gabriele arcangelo; Madonna; Santa Massima; Geremia; Ezechiele; Isaia; Daniele. Figure: cherubini. Abbigliamento: all'antica. Attributi: (Sant'Ansano) vessillo; palma. Attributi: (San Gabriele arcangelo) ramoscello d'ulivo; corona d'ulivo; gigli. Attributi: (Santa Giulitta) croce astile; palma. Oggetti: vaso; libro; sedia; drappeggio; cartigli. Simboli: (Spirito Santo) colomba.	0				
Madonna con Bambino in trono e angeli	1				
Soggetti profani. Ritratti. Figure maschili: uomo con capelli baffi e barba bianchi. Abbigliamento: cappa; cappello.	0				
Soggetti sacri. Personaggi: Sant'Anna; Madonna; Bambino Gesù; Giovacchino. Figure femminili: ancelle. Abbigliamento: all'antica; contemporaneo. Interno. Architetture: pavimento marmoreo a riquadri; scalinata; soffitto a cassettoni; finestre; porte. Oggetti: cesti; letto; sedile; gioiello; tende; cuscino; coperte. Animali: cane. Vegetali: melagrana.	0				
Soggetti profani. Ritratti. Personaggi: Bernardo Dovizi; mezza figura; seduto; di tre quarti a sinistra; mani. Abbigliamento: mozzetta con bottoni binati; cappuccio; maniche ampie; berretta clericale. Oggetti: anelli; lettera.	0				
Soggetti profani. Personaggi: Cloto; Lachesi; Atropo. Abbigliamento: all'antica . Attributi: (Parche) forbici; fuso.	0				
MARTIRIO DI SAN BARTOLOMEO	1				
Soggetti profani. Paesaggi: bosco. Figure: Diogene filosofo.	0				
Veduta di Napoli con Castel Sant'Elmo	1				
guerriero in armatura recante uno scudo	1				
RITRATTO DI CARLO FELICE DI SAVOIA	1				
deposizione di Cristo nel sepolcro	1				
ritratto di donna, Ritratto della fidanzata a 14 anni	1				
ritratto d'uomo, Giuseppe Spina	1				
ritratto di donna	1				
La Battaglia di Legnano	1				
Morte di San Giuseppe	1				
motivi decorativi a grottesche	1				
Motivi decorativi geometrici e vegetali stilizzati	1				
battesimo di Cristo	1				
Personaggi: Madonna; Gesù bambino.	0				
Personaggi: San Giovanni Battista.	0				
Annunciazione con angeli e committenti	1				
Figura astratta	0				
Soggetti sacri: Sant'Ambrogio assolve l'imperatore Teodosio.	0				
Soggetti sacri: cena in casa di Simone il fariseo.	0				
Soggetti sacri: nascita di Maria Vergine. Personaggi: Sant'Anna; Maria Verhine. Figure: donne.	0				
Ritratto di pontefice	1				
Paesaggi. Animali: pecore. Figure: fanciulla; pastore.	0				
Madonna Addolorata	1				
ritratto di ecclesiastico	1				
Ritratti: Giuseppe Asclepi. Abbigliamento religioso. Oggetti: fogli; libro; penna; sfera armillare; termometro; zucchetta. Mobilia: sedia; tavolo.	0				
Personaggi: Giuseppe Garibaldi. Abbigliamento. Oggetti: clarino; anello.	0				
Personaggi: beato Amedeo d Savoia. Figure: angeli; cherubini. Abbigliamento: abito; cappa di ermellino. Interno. Mobilia: tavolo. Elementi architettonici: colonna. Oggetti: spada; lapide; libro; Sindone.	0				
Paesaggi: mare. Mezzi di trasporto: piroscafo. Fenomeni metereologici: tempesta.	1				
testa d'uomo con barba	1				
figura femminile con bambino in braccio	0				
Paesaggio montano	1				
motivi decorativi geometrici	1				
Personaggi: santi.	0				
personaggi: Madonna.	0				
circoncisione di Gesù Bambino	1				
veduta di città	1				
Santo Vescovo	1				
Paesaggi.	1				
Personaggi: Cristo; San Giovanni Battista; Dio Padre. Attributi: (San Giovanni Battista) ciotola battesimale. Figure: Angeli. Simboli: colomba dello Spirito Santo. Fiumi: Giordano.	0				
Paesaggi. Figure.	0				
TENTAZIONI DI SANT'ANTONIO ABATE	1				
Personaggi: Annibale di Saluzzo. Abbigliamento: abbigliamento militare.	0				
ritratto dei figli di Tommaso di Savoia	1				
ritratto di Annibale di Saluzzo	1				
Madonna con Bambino e San Francesco	1				
Personaggi: Madonna; Gesù Bambino; San Giovanni Battista.	0				
Personaggi: Madonna; Ges˘ Bambino; San Giovannino. Attributi: (San Giovannino) vello di cammello. Paesaggi.	0				
Personaggi: Gesù Bambino; Madonna; S. Giuseppe. Figure: angelo. Animali: asino.	0				
SAN GIOVANNI BATTISTA	1				
DEPOSIZIONE DI CRISTO DALLA CROCE	1				
Il dipinto con la Madonna in trono e Gesù Bambino fa parte delle cinque tavole del polittico di San Gregorio, ripartito su due livelli. L’immagine è raffigurata nel pannello centrale, in basso.La Regina Coeli, siede su un semplice trono ed ha sul capo scoperto una corona di rose sorretta da angeli in volo. Sulle sue ginocchia Gesù Bambino, nudo, reca al collo un rametto di corallo e stringe nella mano sinistra una mela e con l'altra prende alcune ciliegie offerte dalla Madre. La Santa Vergine indossa abiti lussuosi, delineati secondo la moda del tempo, come il rosso corpetto damascato che emerge da una tunica rosacea e l'ampio manto blu decorato a fiori di melograno incisi e lumeggiati in oro, riscoperti nel recente restauro.Il trono poggia su di una pedana mistilinea aggettante verso lo spettatore, da cui pende una collana di trentotto granati. Accanto alla collana è dipinto un cartiglio con la firma dell'autore e la data 1473.Tutte le figure comprese quelle dei pannelli laterali con San Benedetto e San Gregorio sono collocate in uno spazio unitario, anche se il fondo dorato di ideologia arcaica e forse voluto dalla committenza, non limita affatto la sensazione di profondità, resa veritiera da una luce vibrante che trascolora sulle pietre squadrate di un muretto movimentando la fissità della scena. Altri espedienti di unificazione sono utilizzati dall’autore per dare continuità alla raffigurazione del livello inferiore, quali il manto della vergine allungato nel pannello con San Benedetto a destra, la pedana mistilinea posta su di un basamento a gradoni rettilineo che si propagano ambedue nei due pannelli laterali.La cornice, non più esistente e presumibilmente in legno intagliato e dorato, contribuiva ulteriormente ad unificare il complesso svolgimento della sacra rappresentazione, racchiudendo le tavole in un unico apparato. L’intelaiatura decorativa, infatti, non incorniciava singolarmente i pannelli ma serviva per arricchire e supportare realisticamente gli elementi architettonici, dipinti con straordinari effetti prospettici, in modo tale da far sembrare le immagini superiori inserite veramente in un piano sovrastante, entro ipotetiche finestre.	0				
Il dipinto con San Gregorio Magno fa parte delle cinque tavole del polittico di San Gregorio, ripartito su due livelli. L’immagine è raffigurata nel pannello inferiore di sinistra, mentre sulla parte opposta è rappresentata quella di San Benedetto. Le suore benedettine vollero così esplicitamente manifestare la loro devozione verso i due Santi connessi alla loro vita monastica: San Benedetto fondatore dell’ordine e San Gregorio del monastero. Il polittico fu commissionato dalla badessa suor Fabia Cirino, il cui arme gentilizio della importante famiglia di appartenenza è visibile in basso nel pannello con San Gregorio Magno.Le figure dei due Santi sono lievemente orientate verso l’icona centrale, raffigurante la Madonna in trono con Gesù Bambino, e rievocano nel geometrico panneggio della cotta l’impostazione di due salde colonne scanalate. Il paramento liturgico e gli attributi iconografici del triregno papale e del pastorale definiscono l’eminenza ecclesiale di Papa San Gregorio Magno. L’immagine è caratterizzata da una ricercata ricchezza del decoro prezioso, evidente nella sontuosa casula in tessuto serico damascato, nei gioielli del triregno e nella composizione del pastorale dal nodo architettonico in argento dorato.La granitica posizione del Santo è movimentata dalla fuoriuscita della punta del piede dalla pedana di appoggio, che insieme ad altri singolari espedienti prospettici danno una tangibile sensazione di realismo. Tutte le figure sono collocate in uno spazio unitario, anche se il fondo dorato di ideologia arcaica e forse voluto dalla committenza, non limita affatto la sensazione di profondità resa veritiera da una luce vibrante che trascolora sulle pietre di un muretto in mattoni movimentando la fissità della scena. La cornice, non più esistente e presumibilmente in legno intagliato e dorato, contribuiva ulteriormente ad unificare il complesso svolgimento della sacra rappresentazione, racchiudendo le tavole in un unico apparato. L’intelaiatura decorativa, infatti, era stata progettata anche per supportare realisticamente l'architettura, dipinta con straordinari effetti prospettici. La firma dell'autore e la data 1473 si rilevano entro un cartiglio posto nel pannello centrale, in basso.	0				
Crocifissione	1				
ritratto di Papa Paolo III	1				
Ritratto di Pier Luigi Farnese	1				
ciociari	1				
Personaggi: S. Giovanni Battista. Attributi: (S. Giovanni Battista) bastone; agnello.	0				
Personaggi: Gesù; S. Giovanni Battista; Madonna; S. Gioacchino; S. Elisabetta; S. Anna. Attributi: (S. Giovanni Battista) croce; (S. Gioacchino) barba bianca; bastone; sfera.	0				
RITRATTO FEMMINILE	1				
Paesaggio campestre	1				
Figure geometriche, Geometric painting	0				
Composizione astratta, figure geometriche	0				
Paesaggio con animali	1				
Contadini in festa	1				
ritratto di Giovanni Michele Asinari di Virle	1				
ritratto di Carlo di Savoia	1				
il Redentore; gli Evangelisti e i padri della Chiesa	1				
Martirio di Santo Stefano protomartire	1				
stemma di Carpi	1				
Ritratto di Giovanni Pico di Alessandro II	1				
Figure: Fama; Eternità. Attributi: (Eternità) serpe; (Fama) tromba. Oggetti: corona; mascherone.	0				
Personaggi: Maria Vergine; Gesù Bambino; S. Giuseppe; re Magi. Figure: angeli; fanciulli. Animali: bue; asino. Oggetti: corone; vasetti; spada. Architetture: capanna; pilastro.	0				
VEDUTA DEL PALAZZO DEGLI ANZIANI E DELLA TORRE	1				
martirio di San Pietro Martire	1				
paesaggio con contadine, Campagna con figure	0				
natura morta con frutta e paesaggio, Natura morta con uva, anguria e paesaggio	0				
la persecuzione dei Greci, La persecuzione dei Greci	1				
Giochi per intrattenersi	1				
testa di santa	1				
Chiesa antica	1				
figura femminile, Donna negra	0				
Eremita	1				
motivi decorativi vegetali a palmette	1				
occhio divino	1				
Quattro stagioni	1				
contadina, Cloe	1				
FIGURA FEMMINILE CON DROMEDARIO	0				
Santa Monaca	1				
Arcangelo Gabriele in trono	1				
ritratto di giovane donna	1				
Salome con la testa di San Giovanni Battista sul piatto	1				
RESURREZIONE DI CRISTO	1				
MADONNA CON BAMBINO E SAN GIOVANNINO	1				
MOTIVI DECORATIVI	1				
Angioletto	1				
Imbarco da Venezia di Marcantonio Colonna con le truppe alleate	1				
Natura morta con frutta	1				
Testa di donna	1				
Personaggi: San Sebastiano.	0				
Veduta	1				
personaggi: San Pietro	0				
PERSONAGGI : CRISTO	0				
scena di battaglia, Fasti Farnesiani	1				
Cristo benedice i fanciulli, Cristo benedice i fanciulli alla presenza degli Apostoli	0				
veduta di Villa d'Orri in Sardegna	1				
ritratto di Papa Pio VI	1				
luci sul canale	1				
Cristo tra gli apostoli	1				
Allegoria della Vittoria come aquila	1				
ritratto di Maria Caterina d'Este	1				
ritratto di Amedeo V di Savoia	1				
ritratto d'uomo, Ritratto del cardinale G.B. De Luca	1				
incoronazione di spine	1				
Architettura illusionistica	1				
Soggetti sacri. Personaggi: Enoch; Elia; Apostoli; Madonna; Arcangelo Gabriele; Gesù Cristo; San Pietro apostolo. Figure maschili: frati. Figure: beati; angeli; cherubini; dannati. Paesaggi. Oggetti: trombe. Simboli della passione.	0				
ritratto virile	1				
Santo monaco	1				
Presentazione di Maria Vergine al tempio	1				
San Francesco di Paola guarisce un infante	1				
ritratto di donna, Ritratto di giovane donna	1				
Cristo in pietà sorretto da angeli	1				
GLORIA DI ANGELI	1				
Paesaggio fluviale	1				
Personaggi: Gesù Cristo; San Giovanni Evangelista; San Giuseppe d'Arimatea.	0				
Personaggi: Gesù Bambino; Madonna; San Giuseppe; San Simeone. Figure femminili. Figure maschili. Figure: angeli.	0				
Personaggi: certosino. Oggetti: penna; calamaio; lettera.	0				
Il viatico del povero	1				
CRISTO CROCIFISSO TRIONFANTE	1				
Personaggi: San Benedetto; Santa Scolastica; Gesù Cristo; Dio Padre. Simboli: Colomba Spirito Santo. Figure: angelo; cherubini. Attributi: (S. Benedetto) pastorale. Attributi: (S. Scolastica) giglio. Abbigliamento religioso. Simboli del martirio: croce.	0				
VISITAZIONE	1				
storie di eremiti	1				
Personaggi: Santa Maria Maddalena; Gesù Bambino; Madonna; Santa Caterina d'Alessandria. Figure: angeli. Abbigliamento: all'antica. Attributi: (Santa Maria Maddalena) vaso per unguenti. Attributi: (Santa Caterina d'Alessandria) corona. Oggetti: vasi; turiboli; navicelle; trono. Simboli: (anima umana) cardellino. Vegetali: fiori. Araldica: scudo araldico.	0				
Ezechiele ha la visione della valle delle ossa inaridite	1				
santa Caterina d'Alessandria	1				
veduta di Montebuono Sabino, A MONTEBUONO SABINO	1				
allegoria della Patria	1				
Federico Barbarossa cacciato da Alessandria, L'Imperatore Federico Barbarossa, durante il lungo assedio di Alessandria, avendo tentato d'impadronirsi per sorpresa della città, ne viene cacciato dal popolo (1174)	0				
sacrificio di Ifigenia	1				
BUSTO DI GIUNONE	1				
CRISTO	1				
Madonna con Gesù Bambino, san Floriano,san Domenico,san Petronio,san Procolo e un angelo che mostra una veduta di Bologna	0				
Stazioni della Via Crucis	1				
PIATTO CON FRUTTI	1				
divinità	1				
tramonto	1				
PAESAGGIO MARINO	1				
stazione VII: gesù cade sotto la croce la seconda volta	1				
figura maschile, Guardia Belgiorno	0				
malinconia	1				
Madonna del Buon Consiglio	1				
ascensione di Cristo	1				
CRISTO BENEDICENTE	1				
Personaggi: Madonna; Gesu' Bambino.	0				
San Gabriele Arcangelo	1				
Soggetti sacri: banchetto di Erode.	0				
Personaggi: San Paolo. Attributi: (San Paolo) libro.	0				
Sant'Agostino e altri personaggi	0				
Personaggi: Madonna; Gesù bambino. Figure: angeli.	0				
RITRATTI : GIUSEPPE GARIBALDI	1				
Figure: giovane; donna. Abbigliamento. Oggetti: cappello piumato; bicchiere; piatti; forchetta; coltello; tovaglia; tovagliolo; pane; torta.	0				
Ritratto di Papa	1				
Decorazioni: motivi geometrici; cerchi.	1				
Cristo portacroce	1				
Architetture: Interno del transetto della chiesa di S. Ignazio a Roma.	0				
COMPIANTO SU CRISTO MORTO	1				
Personaggi: Alessandro Magno. Guerrieri: soldati. Paesaggi. Mezzi di trasporto: carri.	0				
Poro assalito dai soldati macedoni	1				
Tritoni in lotta	1				
MADONNA IN TRONO CON BAMBINO	1				
Personaggi: figura maschile.	0				
Personaggi: Gesù Bambino; Sant'Antonio. Figure: angeli.	0				
Personaggi: Madonna; Gesù Bambino. Figure: angeli; confratelli.	0				
Miracolo della Madonna	1				
Personaggi: frate domenicano. Figure: indemoniati; astanti.	0				
Natività di Gesù	1				
David con la testa di Golia	1				
Personaggi: Gesù Bambino; Madonna; S. Giuseppe. Attributi: (Gesù Bambino) aureola; mangiatoia; (Madonna) veste rosa; manto azzurro; (S. Giuseppe) verga fiorita. Figure: angeli; pastori. Animali: bue; pennuti.	0				
Personaggi: Venere, Marte, Amorini. Attributi (Venere) nudità, amorini (Marte) corazza, calzari, spada, lancia, elmo, scudo. Paesaggio: bucolico con la presenza di frutti in primo piano. Animali: cavallo, colombe tubanti.	0				
Vegetali: frutta; fiori. Animali: insetti; rettile; lumache.	1				
nettuno	1				
Personaggi: Madonna; Gesù Bambino. Figure: Uomo. Architetture. Paesaggi.	0				
Personaggi: Madonna; Gesù Bambino. Figure: Uomo; donna; bambino. Oggetti: Culla.	0				
soggetto assente	1				
Motivi decorativi vegetali; Motivi decorativi geometrici	1				
Battaglia di cavalleria	1				
Incoronazione di Maria Vergine	1				
MADONNA DEL ROSARIO CON SAN DOMENICO E SANTA CATERINA DA SIENA	0				
Ritratto del cardinale Girolamo Bernieri	1				
personaggi: Cristo; San Giovanni Battista; astanti. personificazione: (Spirito Santo)colomba. abbigliamento: (Cristo) veste candida. paesaggio: fiume	0				
"Il dipinto raffigura i ""carusi"	 cosÃ¬ venivano indicati i ragazzi impiegati nel duro lavoro nelle zolfatare siciliane	 allâ_x0080__x0099_uscita del pozzo minerario. Sono curvi sotto il peso schiacciante dei sacchi di zolfo sulle spalle. Sono emersi dal buio infernale della miniera e camminano in fila accecati da una luce intensa. Uno dei ragazzi	 sulla sinistra Ã¨ accasciato per terra	" vinto dalla fatica."""	0
La prateria è lambita dalle acque di un lago. Al centro della scena è raffigurato un alto frondoso albero e alcuni bovini al pascolo. Il quadro è chiuso in basso da una roccia.	0				
PAESAGGIO CON CONTADINE	1				
Personaggi: Maddonna; Ges˘ Bambino.Figure: angeli	0				
Soggetti profani: Danae e la pioggia d'oro.Personaggi: Danae, Cupido, Giove	0				
Sant'Antonio da Padova con il bambino, Gesù con Sant'Antonio e gloria di Angeli	0				
pie donne al sepolcro, Le Marie	1				
Testa di donna, Testa di donna	1				
San Sebastiano	1				
ritratto di Carlo Felice re di Sardegna	1				
ritratto di Manfredo di Saluzzo	1				
visita di Carlo Felice sul lago Maggiore	1				
L'espugnazione di Bona	1				
ritratto di vecchio	1				
ritratto di Francesco Farnese	1				
RITRATTO DI ELREDO CAPELLI	1				
ritratto di Ranuccio II Farnese	1				
RITRATTO DI SALOMONE TEDESCHI	1				
RITRATTO DI MARGHERITA DE'MADICI	1				
Figura femminile	0				
NOZZE DI CANA	1				
Madonna Immacolata e Santi	1				
Sant'Agnese	1				
San Giuseppe e Gesu' Bambino	1				
Scena familiare	1				
Processione	1				
ULISSE	1				
San Vincenzo Ferrer	1				
Composizione di forme e segni liberi, Con presenze illusorie	1				
Andata di Cristo al Calvario	1				
Santa Chiara d'Assisi in gloria	1				
Sant'Andrea	1				
dodici cavalieri dell'Apocalisse	1				
Matrimonio mistico di santa Caterina d'Alessandria	1				
PAESAGGIO LAGUNARE	1				
ritratto di Giulia Clary con le figlie Zenaide e Carlotta	1				
Morte del soldato	1				
Madonna immacolata	1				
episodi della vita di San Francesco d'Assisi, San Francesco dona la regola dell'ordine alla chiesa di Dio	0				
busto femminile	1				
FIGURE ALLEGORICHE	0				
Marte e simboli vari	1				
Cattura di Cristo	1				
testa di vecchio	1				
Soggetti sacri: Cristo crocifisso e santi. Personaggi: Cristo crocefisso; Madonna; San Giovanni Evangelista; Santa Chiara; Sant'Antonio da Padova. Figure: santi.	0				
Personaggi: Cristo; Nicodemo; Giuseppe d'Arimatea; San Giovanni Evangelista; San Pietro Apostolo; Santa Maria Maddalena; Madonna; Pie donne. Paesaggi.	0				
allegoria della religione	1				
assedio di Nizza	1				
Vedute: golfo di Napoli. Mezzi di trasporto: velieri. Architetture: castello.	1				
Composizione astratta, figure geometriche	0				
presentazione di Gesù al tempio	1				
figura maschile	0				
SAN MICHELE ARCANGELO	1				
Animali: anatre; lepre.	1				
Personaggi: Madonna; Gesu' Bambino; San Giuseppe; Magi. Figure: angeli; astanti. Animali: cammello. Oggetti:turbante; ombrellino processionale.	0				
Laocoonte	1				
Figure femminili, figure maschili e animali	0				
pietà	1				
angelo	1				
paesaggio con alberi	1				
Le sfogliatrici	1				
Morte di santa Caterina da Siena	1				
Paesaggio fantastico	1				
Comunione degli apostoli	1				
motivi decorativi vegetali e animali	1				
STRAGE DEGLI INNOCENTI	1				
Soggetti sacri. Personaggi: Sant'Antonino (?) ; San Tommaso D'Aquino; SanGiovanni Evangelista; San Bernardo da Chiaravalle; San Giovannini Battista bambino; Madonna; Gesù Bambino; Sant' Anna Metterza; Trinita'; Santa Reparata; San Zanobi; San Barnaba (?); Sant' Andrea Corsini (?). Figure maschili: santi. Figure: angeli; cherubini. Abbigliamento: all'antica; contemporaneo. Oggetti: libri; croce astile; palma; pastorale; ostensorio; giglio stendardo; strumenti musicali. Architetture: gradini; nicchia.	0				
Scena di Caccia	1				
Nereidi e tritoni	1				
Ritrovamento di Mosé	1				
EDIFICI	1				
ritratto d'uomo, Ritratto di Cosimo de' Medici	1				
Sant'Antonino	1				
CRISTO CONSEGNA LE CHIAVI A SAN PIETRO	1				
Madonna con Bambino, angeli e monaci certosini che distribuiscono elemosina ai fanciulli bisognosi	0				
Personaggi: San Francesco d'Assisi. Abbigliamento religioso: saio; cordone. Figure: monaco.	0				
Personaggi: San Lorenzo. Figure maschili. Abbigliamento religioso. Suppellettili ecclesiastiche.	0				
veduta con casa di campagna e figure maschili che tendono una fune	0				
Personaggi: Cristo. Strumenti del martirio: braccio orizzontale della Croce. Simboli della passione: sepolcro; copertura del sepolcro.	0				
Madonna della Cintola con San Lorenzo, San Tommaso e San Francesco	0				
Madonna col Bambino	1				
Trinità con San Benedetto e San Giovanni Gualberto	1				
apparizione di Cristo risorto a Santa Maria Maddalena	1				
SAN CARLO BORROMEO IN PREGHIERA	1				
elementi decorativi	1				
angeli adoranti il calice eucaristico	1				
fiori, Fiori	1				
cristo crocifisso	1				
sant'Antonio da Padova	1				
nevicata	1				
cavallo	1				
vaso di fiori	1				
ritratto di Pietro da Eboli	1				
atrio del Duomo di Salerno	1				
Personaggi: Alessandro Magno; Iaddo. Ecclesiastici: sacerdoti. Guerrieri: greci. Figure. Vedute.	0				
Personaggi: Alessandro Magno. Mezzi di trasporto: carro. Guerrieri: soldati. Figure: paggio. Animali: pantera; leone; cavallo. Vegetali: fronde di ulivo.	0				
Vaso con fiori	1				
Animali: levriero. Oggetti: collare.	0				
San Pietro liberato dal carcere da un angelo	1				
Personaggi: Madonna, Gesù Bambino.Attributi: falce di luna.Figure: testine alate	0				
Personaggi: Madonna; Gesù Bambino. Figure maschili.	0				
Personaggi: Madonna; Gesù Bambino. Figure: Uomini. Oggetti: Letto.	0				
MADONNA ORANTE	1				
Giuditta e Oloferne	1				
Personaggi: S. Vincenzo Ferrer. Attributi: (S. Vincenzo Ferreri ) abiti domenicani; libro.	0				
PAESAGGIO RURALE	1				
crocifissione di Cristo con la Madonna e San Giovanni evangelista	1				
dama con paggio	1				
veduta del bacino di San Marco a Venezia	1				
riposo durante il ritorno dall'Egitto	1				
Il crescente interesse per lâ_x0080__x0099_architettura medievale nel secondo Ottocento, spinse molti artisti di questo periodo a prediligere come soggetto il suggestivo chiostro voluto dal re normanno Ruggero II. A seguito della soppressione delle corporazioni religiose, esso divenne monumento nazionale. Il quadro raffigura un lato di esso, su cui fronde e piante rampicanti proiettano ombre. Una giovane madre tiene alto il bambino con le manine protese verso i rami.	0				
Il fiume Ciane dalle rive popolate da fitti papiri è percorso da una barca su cui spiccano tre figure indistinte	0				
Il paesaggio è rivestito di un luminoso colore oro, punteggiato da rocce e alberi, segnato da un sentiero che si snoda in direzione di un gruppo di case. Sullo sfondo i monti, le cui vette sono celate da masse di nubi.	0				
imperatore in trionfo, Il trionfo di un imperatore romano	1				
Santa Maria Maddalena, Santa Maria Maddalena	1				
Scorcio di uno studio, ritratto riflesso su vetro, ringhiera esterna, The artist reflected at sun down	0				
Donna azteca raffigurata a mezzo busto, sfondo geometrico., Aztec woman	0				
autoritratto di Luigi Bracchi	1				
paesaggio lacustre con pittore	1				
PAESAGGIO CON TORRENTE	1				
San Michele Arcangelo scaccia gli angeli ribelli dal Paradiso	1				
MARINA CON PESCATORI E BARCHE	1				
Sacra Famiglia con Sant'Antonio da Padova	1				
Ritratto del cavaliere Acquaviva	1				
attività ed episodi miracolosi di San Francesco Saverio	1				
paesaggio marino, Veduta da Villa Ruspoli in Sorrento	1				
ricevimento in casa di un dignitario cinese, Dignitario cinese che riceve in casa un altro dignitario	0				
NASCITA DI MARIA VERGINE	1				
Santa Margherita da Cortona	1				
Compianto sul Cristo morto	1				
angelo con cornucopia	1				
santo francescano	1				
ritratto di fanciullo, Ritratto di giovanetto (del figlio ?)	1				
figure maschili, Studio di teste	0				
Tralci e grappoli d'uva	1				
ultima cena	1				
Mazzo di fiori	1				
Giuseppe in carcere interpreta i sogni del coppiere e del panettiere, Giuseppe in carcere interpreta i sogni del coppiere e del panettiere	0				
Bambù	1				
Daikoku	1				
Bambù e passeri	1				
COLOMBA DELLO SPIRITO SANTO	1				
